game_id,game_date,season,team_id,team_abbr,matchup,win_loss,points,fg_pct,ft_pct,fg3_pct,assists,rebounds,steals,blocks,turnovers,plus_minus,is_home,opponent_abbr,win
0022200463,2022-12-20,2022-23,1610612752,NYK,NYK vs. GSW,W,132,0.517,0.781,0.425,27,47,8,1,11,38.0,1,GSW,1
0022200462,2022-12-20,2022-23,1610612748,MIA,MIA vs. CHI,L,103,0.469,0.706,0.341,26,35,9,0,13,-10.0,1,CHI,0
0022200464,2022-12-20,2022-23,1610612756,PHX,PHX vs. WAS,L,110,0.461,0.789,0.406,26,44,2,1,14,-3.0,1,WAS,0
0022200465,2022-12-20,2022-23,1610612743,DEN,DEN vs. MEM,W,105,0.449,0.6,0.37,28,48,9,5,17,14.0,1,MEM,1
0022200452,2022-12-19,2022-23,1610612739,CLE,CLE vs. UTA,W,122,0.614,0.808,0.577,24,45,5,4,21,23.0,1,UTA,1
0022200459,2022-12-19,2022-23,1610612756,PHX,PHX vs. LAL,W,130,0.495,0.75,0.513,21,51,10,5,8,26.0,1,LAL,1
0022200456,2022-12-19,2022-23,1610612742,DAL,DAL @ MIN,L,106,0.408,0.806,0.422,23,42,5,5,15,-10.0,0,MIN,0
0022200456,2022-12-19,2022-23,1610612750,MIN,MIN vs. DAL,W,116,0.472,0.833,0.387,19,44,5,4,10,10.0,1,DAL,1
0022200457,2022-12-19,2022-23,1610612749,MIL,MIL @ NOP,W,128,0.556,0.806,0.325,26,44,8,6,17,9.0,0,NOP,1
0022200458,2022-12-19,2022-23,1610612760,OKC,OKC vs. POR,W,123,0.455,0.865,0.355,20,39,7,5,10,2.0,1,POR,1
0022200446,2022-12-18,2022-23,1610612752,NYK,NYK @ IND,W,109,0.47,0.767,0.308,13,49,7,9,16,3.0,0,IND,1
0022200449,2022-12-18,2022-23,1610612750,MIN,MIN vs. CHI,W,150,0.655,0.813,0.535,38,39,5,5,12,24.0,1,CHI,1
0022200445,2022-12-18,2022-23,1610612738,BOS,BOS vs. ORL,L,92,0.348,0.857,0.255,22,54,7,7,16,-3.0,1,ORL,0
0022200450,2022-12-18,2022-23,1610612743,DEN,DEN vs. CHA,W,119,0.457,0.647,0.333,33,55,6,3,14,4.0,1,CHA,1
0022200444,2022-12-17,2022-23,1610612756,PHX,PHX vs. NOP,W,118,0.47,0.714,0.366,23,35,6,3,8,4.0,1,NOP,1
0022200442,2022-12-17,2022-23,1610612749,MIL,MIL vs. UTA,W,123,0.533,0.818,0.474,30,54,5,3,14,26.0,1,UTA,1
