game_id,game_date,season,matchup,team_id,team_abbr,team_name,win_loss,points,fg_pct,ft_pct,fg3_pct,assists,rebounds,turnovers,is_home,opponent_abbr
0022400548,2025-01-13,2023-24,MIN @ WAS,1610612750,MIN,Minnesota Timberwolves,W,120,0.494,0.774,0.378,20,53,18,0,WAS
0022400553,2025-01-13,2023-24,MIA @ LAC,1610612748,MIA,Miami Heat,L,98,0.388,0.833,0.327,22,49,15,0,LAC
0022400553,2025-01-13,2023-24,LAC vs. MIA,1610612746,LAC,LA Clippers,W,109,0.484,0.6,0.361,28,48,11,1,MIA
0022400552,2025-01-13,2023-24,SAS @ LAL,1610612759,SAS,San Antonio Spurs,W,126,0.533,0.85,0.371,30,41,10,0,LAL
0022400550,2025-01-13,2023-24,GSW @ TOR,1610612744,GSW,Golden State Warriors,L,101,0.398,0.682,0.348,23,46,14,0,TOR
0022400551,2025-01-13,2023-24,MEM @ HOU,1610612763,MEM,Memphis Grizzlies,L,118,0.536,0.667,0.438,15,31,17,0,HOU
0022400541,2025-01-12,2023-24,SAC @ CHI,1610612758,SAC,Sacramento Kings,W,124,0.495,0.81,0.333,33,53,8,0,CHI
0022400544,2025-01-12,2023-24,PHI @ ORL,1610612755,PHI,Philadelphia 76ers,L,99,0.458,0.955,0.414,17,29,16,0,ORL
0022400547,2025-01-12,2023-24,CHA @ PHX,1610612766,CHA,Charlotte Hornets,L,113,0.446,0.8,0.375,30,52,16,0,PHX
0022400545,2025-01-12,2023-24,OKC @ WAS,1610612760,OKC,Oklahoma City Thunder,W,136,0.474,0.943,0.371,26,56,13,0,WAS
0022400540,2025-01-12,2023-24,DEN @ DAL,1610612743,DEN,Denver Nuggets,W,112,0.489,0.65,0.219,23,55,13,0,DAL
0022400542,2025-01-12,2023-24,NOP @ BOS,1610612740,NOP,New Orleans Pelicans,L,119,0.465,0.846,0.459,24,42,9,0,BOS
0022400541,2025-01-12,2023-24,CHI vs. SAC,1610612741,CHI,Chicago Bulls,L,119,0.462,0.75,0.486,26,45,7,1,SAC
0022400539,2025-01-12,2023-24,NYK vs. MIL,1610612752,NYK,New York Knicks,W,140,0.58,0.833,0.439,29,49,11,1,MIL
0022400546,2025-01-12,2023-24,BKN @ UTA,1610612751,BKN,Brooklyn Nets,L,111,0.424,0.657,0.25,26,54,8,0,UTA
0022400543,2025-01-12,2023-24,IND @ CLE,1610612754,IND,Indiana Pacers,W,108,0.467,0.611,0.314,30,50,10,0,CLE
0022400540,2025-01-12,2023-24,DAL vs. DEN,1610612742,DAL,Dallas Mavericks,L,101,0.412,0.76,0.353,27,37,12,1,DEN
0022400542,2025-01-12,2023-24,BOS vs. NOP,1610612738,BOS,Boston Celtics,W,120,0.436,0.826,0.295,23,55,11,1,NOP
0022400544,2025-01-12,2023-24,ORL vs. PHI,1610612753,ORL,Orlando Magic,W,104,0.488,0.679,0.233,23,41,16,1,PHI
0022400546,2025-01-12,2023-24,UTA vs. BKN,1610612762,UTA,Utah Jazz,W,112,0.444,0.75,0.386,25,41,9,1,BKN
0022400547,2025-01-12,2023-24,PHX vs. CHA,1610612756,PHX,Phoenix Suns,W,120,0.483,0.864,0.415,31,39,12,1,CHA
0022400539,2025-01-12,2023-24,MIL @ NYK,1610612749,MIL,Milwaukee Bucks,L,106,0.457,0.588,0.294,22,39,14,0,NYK
0022400543,2025-01-12,2023-24,CLE vs. IND,1610612739,CLE,Cleveland Cavaliers,L,93,0.398,0.889,0.268,24,44,13,1,IND
0022400545,2025-01-12,2023-24,WAS vs. OKC,1610612764,WAS,Washington Wizards,L,95,0.337,0.909,0.196,20,39,16,1,OKC
0022400535,2025-01-11,2023-24,MIN vs. MEM,1610612750,MIN,Minnesota Timberwolves,L,125,0.566,0.737,0.405,37,41,18,1,MEM
0022400534,2025-01-11,2023-24,DET vs. TOR,1610612765,DET,Detroit Pistons,W,123,0.524,0.762,0.576,35,46,15,1,TOR
0022400536,2025-01-11,2023-24,POR vs. MIA,1610612757,POR,Portland Trail Blazers,L,98,0.379,0.684,0.289,24,51,16,1,MIA
0022400533,2025-01-11,2023-24,PHX vs. UTA,1610612756,PHX,Phoenix Suns,W,114,0.512,0.684,0.351,26,38,11,1,UTA
0022400533,2025-01-11,2023-24,UTA @ PHX,1610612762,UTA,Utah Jazz,L,106,0.438,0.722,0.214,26,50,13,0,PHX
0022400535,2025-01-11,2023-24,MEM @ MIN,1610612763,MEM,Memphis Grizzlies,W,127,0.444,0.789,0.39,25,46,13,0,MIN
0022400536,2025-01-11,2023-24,MIA @ POR,1610612748,MIA,Miami Heat,W,119,0.478,0.75,0.432,31,43,10,0,POR
0022400534,2025-01-11,2023-24,TOR @ DET,1610612761,TOR,Toronto Raptors,L,114,0.435,0.667,0.421,27,45,12,0,DET
0022400525,2025-01-10,2023-24,IND vs. GSW,1610612754,IND,Indiana Pacers,W,108,0.524,0.684,0.333,27,48,15,1,GSW
0022400528,2025-01-10,2023-24,BOS vs. SAC,1610612738,BOS,Boston Celtics,L,97,0.405,0.818,0.268,22,43,15,1,SAC
0022400527,2025-01-10,2023-24,NOP @ PHI,1610612740,NOP,New Orleans Pelicans,W,123,0.484,0.654,0.45,31,44,12,0,PHI
0022400530,2025-01-10,2023-24,WAS @ CHI,1610612764,WAS,Washington Wizards,L,105,0.398,0.692,0.391,26,45,15,0,CHI
0022400531,2025-01-10,2023-24,DEN vs. BKN,1610612743,DEN,Denver Nuggets,W,124,0.517,0.758,0.375,34,49,14,1,BKN
0022400526,2025-01-10,2023-24,ORL vs. MIL,1610612753,ORL,Orlando Magic,L,106,0.43,0.692,0.35,20,44,10,1,MIL
0022400530,2025-01-10,2023-24,CHI vs. WAS,1610612741,CHI,Chicago Bulls,W,138,0.558,0.643,0.469,39,55,13,1,WAS
0022400527,2025-01-10,2023-24,PHI vs. NOP,1610612755,PHI,Philadelphia 76ers,L,115,0.462,0.895,0.368,23,42,9,1,NOP
0022400529,2025-01-10,2023-24,OKC @ NYK,1610612760,OKC,Oklahoma City Thunder,W,126,0.539,0.889,0.519,20,46,15,0,NYK
0022400529,2025-01-10,2023-24,NYK vs. OKC,1610612752,NYK,New York Knicks,L,101,0.385,1.0,0.129,18,43,10,1,OKC
0022400525,2025-01-10,2023-24,GSW @ IND,1610612744,GSW,Golden State Warriors,L,96,0.418,0.769,0.263,25,42,13,0,IND
0022400528,2025-01-10,2023-24,SAC @ BOS,1610612758,SAC,Sacramento Kings,W,114,0.431,0.889,0.383,26,56,9,0,BOS
0022400531,2025-01-10,2023-24,BKN @ DEN,1610612751,BKN,Brooklyn Nets,L,105,0.422,0.789,0.311,26,39,17,0,DEN
0022400526,2025-01-10,2023-24,MIL @ ORL,1610612749,MIL,Milwaukee Bucks,W,109,0.518,0.609,0.36,18,43,11,0,ORL
0022400521,2025-01-09,2023-24,DAL vs. POR,1610612742,DAL,Dallas Mavericks,W,117,0.455,0.9,0.333,26,53,14,1,POR
0022400523,2025-01-09,2023-24,MIA @ UTA,1610612748,MIA,Miami Heat,W,97,0.396,0.733,0.28,26,49,14,0,UTA
0022400519,2025-01-09,2023-24,ORL vs. MIN,1610612753,ORL,Orlando Magic,L,89,0.379,0.684,0.25,21,47,14,1,MIN
0022400520,2025-01-09,2023-24,MEM vs. HOU,1610612763,MEM,Memphis Grizzlies,L,115,0.5,0.7,0.313,20,43,19,1,HOU
0022400521,2025-01-09,2023-24,POR @ DAL,1610612757,POR,Portland Trail Blazers,L,111,0.419,0.85,0.444,24,43,12,0,DAL
0022400520,2025-01-09,2023-24,HOU @ MEM,1610612745,HOU,Houston Rockets,W,119,0.427,0.585,0.382,21,44,12,0,MEM
0022400519,2025-01-09,2023-24,MIN @ ORL,1610612750,MIN,Minnesota Timberwolves,W,104,0.4,0.774,0.353,21,50,8,0,ORL
0022400518,2025-01-09,2023-24,DET vs. GSW,1610612765,DET,Detroit Pistons,L,104,0.453,0.75,0.359,25,40,14,1,GSW
0022400522,2025-01-09,2023-24,ATL @ PHX,1610612737,ATL,Atlanta Hawks,L,115,0.488,0.941,0.469,32,32,11,0,PHX
0022400523,2025-01-09,2023-24,UTA vs. MIA,1610612762,UTA,Utah Jazz,L,92,0.398,0.882,0.306,20,49,16,1,MIA
0022400518,2025-01-09,2023-24,GSW @ DET,1610612744,GSW,Golden State Warriors,W,107,0.461,0.625,0.326,32,49,15,0,DET
0022400517,2025-01-09,2023-24,CLE vs. TOR,1610612739,CLE,Cleveland Cavaliers,W,132,0.528,0.8,0.4,31,42,11,1,TOR
0022400522,2025-01-09,2023-24,PHX vs. ATL,1610612756,PHX,Phoenix Suns,W,123,0.576,0.8,0.394,33,42,16,1,ATL
0022400517,2025-01-09,2023-24,TOR @ CLE,1610612761,TOR,Toronto Raptors,L,126,0.596,0.462,0.452,34,37,12,0,CLE
0022400509,2025-01-08,2023-24,CLE vs. OKC,1610612739,CLE,Cleveland Cavaliers,W,129,0.522,0.741,0.417,36,40,15,1,OKC
0022400511,2025-01-08,2023-24,NYK vs. TOR,1610612752,NYK,New York Knicks,W,112,0.477,0.8,0.364,24,43,12,1,TOR
0022400509,2025-01-08,2023-24,OKC @ CLE,1610612760,OKC,Oklahoma City Thunder,L,122,0.533,0.882,0.355,35,38,13,0,CLE
0022400514,2025-01-08,2023-24,NOP vs. POR,1610612740,NOP,New Orleans Pelicans,L,100,0.444,0.727,0.324,19,41,17,1,POR
0022400510,2025-01-08,2023-24,CHI @ IND,1610612741,CHI,Chicago Bulls,L,113,0.512,0.684,0.343,23,39,18,0,IND
0022400513,2025-01-08,2023-24,DET @ BKN,1610612765,DET,Detroit Pistons,W,113,0.523,0.667,0.405,30,42,13,0,BKN
0022400511,2025-01-08,2023-24,TOR @ NYK,1610612761,TOR,Toronto Raptors,L,98,0.494,0.8,0.385,25,33,16,0,NYK
0022400516,2025-01-08,2023-24,MIL vs. SAS,1610612749,MIL,Milwaukee Bucks,W,121,0.478,0.7,0.452,26,57,10,1,SAS
0022400515,2025-01-08,2023-24,DEN vs. LAC,1610612743,DEN,Denver Nuggets,W,126,0.551,0.647,0.486,29,45,11,1,LAC
0022400515,2025-01-08,2023-24,LAC @ DEN,1610612746,LAC,LA Clippers,L,103,0.375,0.8,0.289,14,40,11,0,DEN
0022400514,2025-01-08,2023-24,POR @ NOP,1610612757,POR,Portland Trail Blazers,W,119,0.545,0.769,0.361,24,44,13,0,NOP
